area;weekday;hour;electrical_power_per_million_ev_MW
FR;1;0;400
FR;1;1;360
FR;1;2;240
FR;1;3;180
FR;1;4;130
FR;1;5;75
FR;1;6;90
FR;1;7;140
FR;1;8;170
FR;1;9;185
FR;1;10;170
FR;1;11;110
FR;1;12;100
FR;1;13;150
FR;1;14;185
FR;1;15;185
FR;1;16;210
FR;1;17;290
FR;1;18;350
FR;1;19;400
FR;1;20;420
FR;1;21;470
FR;1;22;540
FR;1;23;600
FR;2;0;400
FR;2;1;360
FR;2;2;240
FR;2;3;180
FR;2;4;130
FR;2;5;75
FR;2;6;90
FR;2;7;140
FR;2;8;170
FR;2;9;185
FR;2;10;170
FR;2;11;110
FR;2;12;100
FR;2;13;150
FR;2;14;185
FR;2;15;185
FR;2;16;210
FR;2;17;290
FR;2;18;350
FR;2;19;400
FR;2;20;420
FR;2;21;470
FR;2;22;540
FR;2;23;600
FR;3;0;400
FR;3;1;360
FR;3;2;240
FR;3;3;180
FR;3;4;130
FR;3;5;75
FR;3;6;90
FR;3;7;140
FR;3;8;170
FR;3;9;185
FR;3;10;170
FR;3;11;110
FR;3;12;100
FR;3;13;150
FR;3;14;185
FR;3;15;185
FR;3;16;210
FR;3;17;290
FR;3;18;350
FR;3;19;400
FR;3;20;420
FR;3;21;470
FR;3;22;540
FR;3;23;600
FR;4;0;400
FR;4;1;360
FR;4;2;240
FR;4;3;180
FR;4;4;130
FR;4;5;75
FR;4;6;90
FR;4;7;140
FR;4;8;170
FR;4;9;185
FR;4;10;170
FR;4;11;110
FR;4;12;100
FR;4;13;150
FR;4;14;185
FR;4;15;185
FR;4;16;210
FR;4;17;290
FR;4;18;350
FR;4;19;400
FR;4;20;420
FR;4;21;470
FR;4;22;540
FR;4;23;600
FR;5;0;400
FR;5;1;360
FR;5;2;240
FR;5;3;180
FR;5;4;130
FR;5;5;75
FR;5;6;90
FR;5;7;140
FR;5;8;170
FR;5;9;185
FR;5;10;170
FR;5;11;110
FR;5;12;100
FR;5;13;150
FR;5;14;185
FR;5;15;185
FR;5;16;210
FR;5;17;290
FR;5;18;350
FR;5;19;400
FR;5;20;420
FR;5;21;470
FR;5;22;540
FR;5;23;600
FR;6;0;300
FR;6;1;250
FR;6;2;180
FR;6;3;120
FR;6;4;90
FR;6;5;60
FR;6;6;40
FR;6;7;80
FR;6;8;105
FR;6;9;110
FR;6;10;100
FR;6;11;90
FR;6;12;80
FR;6;13;100
FR;6;14;110
FR;6;15;110
FR;6;16;150
FR;6;17;170
FR;6;18;215
FR;6;19;270
FR;6;20;290
FR;6;21;305
FR;6;22;350
FR;6;23;400
FR;7;0;300
FR;7;1;250
FR;7;2;180
FR;7;3;120
FR;7;4;90
FR;7;5;60
FR;7;6;40
FR;7;7;80
FR;7;8;105
FR;7;9;110
FR;7;10;100
FR;7;11;90
FR;7;12;80
FR;7;13;100
FR;7;14;110
FR;7;15;110
FR;7;16;150
FR;7;17;170
FR;7;18;215
FR;7;19;270
FR;7;20;290
FR;7;21;305
FR;7;22;350
FR;7;23;400
ES;1;0;400
ES;1;1;360
ES;1;2;240
ES;1;3;180
ES;1;4;130
ES;1;5;75
ES;1;6;90
ES;1;7;140
ES;1;8;170
ES;1;9;185
ES;1;10;170
ES;1;11;110
ES;1;12;100
ES;1;13;150
ES;1;14;185
ES;1;15;185
ES;1;16;210
ES;1;17;290
ES;1;18;350
ES;1;19;400
ES;1;20;420
ES;1;21;470
ES;1;22;540
ES;1;23;600
ES;2;0;400
ES;2;1;360
ES;2;2;240
ES;2;3;180
ES;2;4;130
ES;2;5;75
ES;2;6;90
ES;2;7;140
ES;2;8;170
ES;2;9;185
ES;2;10;170
ES;2;11;110
ES;2;12;100
ES;2;13;150
ES;2;14;185
ES;2;15;185
ES;2;16;210
ES;2;17;290
ES;2;18;350
ES;2;19;400
ES;2;20;420
ES;2;21;470
ES;2;22;540
ES;2;23;600
ES;3;0;400
ES;3;1;360
ES;3;2;240
ES;3;3;180
ES;3;4;130
ES;3;5;75
ES;3;6;90
ES;3;7;140
ES;3;8;170
ES;3;9;185
ES;3;10;170
ES;3;11;110
ES;3;12;100
ES;3;13;150
ES;3;14;185
ES;3;15;185
ES;3;16;210
ES;3;17;290
ES;3;18;350
ES;3;19;400
ES;3;20;420
ES;3;21;470
ES;3;22;540
ES;3;23;600
ES;4;0;400
ES;4;1;360
ES;4;2;240
ES;4;3;180
ES;4;4;130
ES;4;5;75
ES;4;6;90
ES;4;7;140
ES;4;8;170
ES;4;9;185
ES;4;10;170
ES;4;11;110
ES;4;12;100
ES;4;13;150
ES;4;14;185
ES;4;15;185
ES;4;16;210
ES;4;17;290
ES;4;18;350
ES;4;19;400
ES;4;20;420
ES;4;21;470
ES;4;22;540
ES;4;23;600
ES;5;0;400
ES;5;1;360
ES;5;2;240
ES;5;3;180
ES;5;4;130
ES;5;5;75
ES;5;6;90
ES;5;7;140
ES;5;8;170
ES;5;9;185
ES;5;10;170
ES;5;11;110
ES;5;12;100
ES;5;13;150
ES;5;14;185
ES;5;15;185
ES;5;16;210
ES;5;17;290
ES;5;18;350
ES;5;19;400
ES;5;20;420
ES;5;21;470
ES;5;22;540
ES;5;23;600
ES;6;0;300
ES;6;1;250
ES;6;2;180
ES;6;3;120
ES;6;4;90
ES;6;5;60
ES;6;6;40
ES;6;7;80
ES;6;8;105
ES;6;9;110
ES;6;10;100
ES;6;11;90
ES;6;12;80
ES;6;13;100
ES;6;14;110
ES;6;15;110
ES;6;16;150
ES;6;17;170
ES;6;18;215
ES;6;19;270
ES;6;20;290
ES;6;21;305
ES;6;22;350
ES;6;23;400
ES;7;0;300
ES;7;1;250
ES;7;2;180
ES;7;3;120
ES;7;4;90
ES;7;5;60
ES;7;6;40
ES;7;7;80
ES;7;8;105
ES;7;9;110
ES;7;10;100
ES;7;11;90
ES;7;12;80
ES;7;13;100
ES;7;14;110
ES;7;15;110
ES;7;16;150
ES;7;17;170
ES;7;18;215
ES;7;19;270
ES;7;20;290
ES;7;21;305
ES;7;22;350
ES;7;23;400
